project_id,project_location_id,precision_code,geoname_id,place_name,latitude,longitude,location_type_code,location_type_name,gazetteer_adm_code,gazetteer_adm_name,location_class,geographic_exactness,project_title,start_actual_isodate,end_actual_isodate,donors_iso3,recipients,recipients_iso3,ad_sector_codes,ad_sector_names,ad_purpose_codes,ad_purpose_names,status,transactions_start_year,transactions_end_year,project_total_commitments,total_disbursements,even_split_commitments,even_split_disbursements,recommended_for_research,umbrella,year,year_uncertain,crs_sector_code,crs_sector_name,flow,all_recipients,recipient_condensed,sources_count,funding_agency,cofinancing_agency,implementing_agency,recipient_agencies,recipient_agencies_count,flow_class,intent,amount,currency,deflators_used,exchange_rates_used,usd_defl_2014,usd_current,start_actual,start_planned,end_actual,end_planned,recipient_count,recipient_cow_code,recipient_oecd_code,recipient_oecd_name,recipient_iso3,recipient_iso2,recipient_un_code,recipient_imf_code,line_of_credit,is_cofinanced,is_ground_truthing,loan_type,interest_rate,maturity,grace_period,grant_element,location_details,contacts,source_triangulation,field_completeness,round_coded
968,968_2572183,4,2572183,Brazzaville,-4.2657,15.28048,ADM1,first-order administrative division,6295630|6255146|CG|12,Earth|Africa|Congo|Brazzaville,1,2,China granted a agro-technology demonstration center in Republic of Congo (linked to #963),2009-09-21,,CHN,"Congo, Rep.",COG,310,"Agriculture, Forestry and Fishing",,,Completion,2009,2009,6785494,,6785494,,TRUE,FALSE,2009,FALSE,310,"Agriculture, Forestry and Fishing",Grant,"Congo, Rep.","Congo, Rep.",8,"Unspecified Chinese Government Institution, Government Agency",,"Chinese Academy of Tropical Agricultural Sciences (CATAS), Academic, Training and Research",,,ODA-like,Development,5000000,USD,0.736866033,1,6785494,5000000,2009-09-21,,,,1,484,234,"Congo, Rep.",COG,CG,178,634,FALSE,FALSE,FALSE,,,,,,Brazzaville suburbs,,6,8,AdditionalCoded
981,981_2367237,4,2367237,Centrale,8.66667,1,ADM1,first-order administrative division,6295630|6255146|TG|22,Earth|Africa|Togo|Centrale,1,1,China drills 200 wells in Togo,,,CHN,Togo,TGO,140,Water Supply and Sanitation,,,Completion,2010,2010,,,,,TRUE,FALSE,2010,FALSE,140,Water Supply and Sanitation,Grant,Togo,Togo,3,"Unspecified Chinese Government Institution, Government Agency",,,,,ODA-like,Development,,,,,,,,2010-05-01,,,1,461,283,Togo,TGO,TG,768,742,FALSE,FALSE,FALSE,,,,,,"Centrale, Kara",,6,6,AdditionalCoded
981,981_2597439,4,2597439,Kara,9.66667,0.91667,ADM1,first-order administrative division,6295630|6255146|TG|23,Earth|Africa|Togo|Kara,1,1,China drills 200 wells in Togo,,,CHN,Togo,TGO,140,Water Supply and Sanitation,,,Completion,2010,2010,,,,,TRUE,FALSE,2010,FALSE,140,Water Supply and Sanitation,Grant,Togo,Togo,3,"Unspecified Chinese Government Institution, Government Agency",,,,,ODA-like,Development,,,,,,,,2010-05-01,,,1,461,283,Togo,TGO,TG,768,742,FALSE,FALSE,FALSE,,,,,,"Centrale, Kara",,6,6,AdditionalCoded
30730,30730_8394435,4,8394435,Eastern Darfur,11.16667,26.5,ADM1,first-order administrative division,6295630|6255146|SD|60,Earth|Africa|Sudan|Eastern Darfur,1,2,Chinese UN peacekeepers construct China-Sudan Friendship Road in Sudan,2007-11-01,,CHN,Sudan,SDN,210,Transport and Storage,,,Completion,2013,2013,,,,,TRUE,FALSE,2013,TRUE,210,Transport and Storage,Grant,Sudan,Sudan,3,"Unspecified Chinese Government Institution, Government Agency",,Chinese Peacekeeping Detachment to Sudan,,,ODA-like,Development,,,,,,,2007-11-01,,,,1,625,278,Sudan,SDN,SD,736,732,FALSE,FALSE,FALSE,,,,,,"Ed Daein, East Darfur ","Wali Alagib Kabur, acting governor of the East Darfur State ",4,8,AdditionalCoded
30822,30822_3348310,4,3348310,Huambo,-12.5,15.66667,ADM1,first-order administrative division,6295630|6255146|AO|08,Earth|Africa|Angola|Huambo,1,2,"China constructs Angola-China Friendship School (primary) in Huambo Province, Angola",2013-01-31,,CHN,Angola,AGO,110,Education,,,Completion,2012,2012,,,,,TRUE,FALSE,2012,FALSE,110,Education,Grant,Angola,Angola,5,"Unspecified Chinese Government Institution, Government Agency",,,,,ODA-like,Development,,,,,,,2013-01-31,,,2013-10-31,1,540,225,Angola,AGO,AO,24,614,FALSE,FALSE,FALSE,,,,,,Huambo,"Gao Kexiang, Chinese Ambassador ; Geoges Rebelo Pinto Chikoti, Angolan Foreign minister ",5,6,AdditionalCoded
30846,30846_2394992,4,2394992,Borgou,9.75,2.75,ADM1,first-order administrative division,6295630|6255146|BJ|10,Earth|Africa|Benin|Borgou,1,1,Financing 100 Large-Diameter Water Wells,,,CHN,Benin,BEN,140,Water Supply and Sanitation,,,Completion,2013,2013,2058038,,343006.333333333,,TRUE,FALSE,2013,FALSE,140,Water Supply and Sanitation,Grant,Benin,Benin,5,"Unspecified Chinese Government Institution, Government Agency",,"China Geo-Engineering Corporation, State-Owned Company",,,ODA-like,Development,1000000000,XOF,0.983522687,494.0400374,2058038,2024127,,,,,1,434,236,Benin,BEN,BJ,204,638,FALSE,FALSE,FALSE,,,,,,,"Boni Yayi, Benin President ",4,9,AdditionalCoded
30846,30846_2392325,4,2392325,Ouémé,6.61667,2.51667,ADM1,first-order administrative division,6295630|6255146|BJ|16,Earth|Africa|Benin|Ouémé,1,1,Financing 100 Large-Diameter Water Wells,,,CHN,Benin,BEN,140,Water Supply and Sanitation,,,Completion,2013,2013,2058038,,343006.333333333,,TRUE,FALSE,2013,FALSE,140,Water Supply and Sanitation,Grant,Benin,Benin,5,"Unspecified Chinese Government Institution, Government Agency",,"China Geo-Engineering Corporation, State-Owned Company",,,ODA-like,Development,1000000000,XOF,0.983522687,494.0400374,2058038,2024127,,,,,1,434,236,Benin,BEN,BJ,204,638,FALSE,FALSE,FALSE,,,,,,,"Boni Yayi, Benin President ",4,9,AdditionalCoded
30846,30846_2597271,4,2597271,Alibori,11.33333,2.91667,ADM1,first-order administrative division,6295630|6255146|BJ|07,Earth|Africa|Benin|Alibori,1,1,Financing 100 Large-Diameter Water Wells,,,CHN,Benin,BEN,140,Water Supply and Sanitation,,,Completion,2013,2013,2058038,,343006.333333333,,TRUE,FALSE,2013,FALSE,140,Water Supply and Sanitation,Grant,Benin,Benin,5,"Unspecified Chinese Government Institution, Government Agency",,"China Geo-Engineering Corporation, State-Owned Company",,,ODA-like,Development,1000000000,XOF,0.983522687,494.0400374,2058038,2024127,,,,,1,434,236,Benin,BEN,BJ,204,638,FALSE,FALSE,FALSE,,,,,,,"Boni Yayi, Benin President ",4,9,AdditionalCoded
30846,30846_2392716,4,2392716,Mono,6.58333,1.83333,ADM1,first-order administrative division,6295630|6255146|BJ|15,Earth|Africa|Benin|Mono,1,1,Financing 100 Large-Diameter Water Wells,,,CHN,Benin,BEN,140,Water Supply and Sanitation,,,Completion,2013,2013,2058038,,343006.333333333,,TRUE,FALSE,2013,FALSE,140,Water Supply and Sanitation,Grant,Benin,Benin,5,"Unspecified Chinese Government Institution, Government Agency",,"China Geo-Engineering Corporation, State-Owned Company",,,ODA-like,Development,1000000000,XOF,0.983522687,494.0400374,2058038,2024127,,,,,1,434,236,Benin,BEN,BJ,204,638,FALSE,FALSE,FALSE,,,,,,,"Boni Yayi, Benin President ",4,9,AdditionalCoded
30846,30846_2395524,4,2395524,Atakora,10.75,1.66667,ADM1,first-order administrative division,6295630|6255146|BJ|08,Earth|Africa|Benin|Atakora,1,1,Financing 100 Large-Diameter Water Wells,,,CHN,Benin,BEN,140,Water Supply and Sanitation,,,Completion,2013,2013,2058038,,343006.333333333,,TRUE,FALSE,2013,FALSE,140,Water Supply and Sanitation,Grant,Benin,Benin,5,"Unspecified Chinese Government Institution, Government Agency",,"China Geo-Engineering Corporation, State-Owned Company",,,ODA-like,Development,1000000000,XOF,0.983522687,494.0400374,2058038,2024127,,,,,1,434,236,Benin,BEN,BJ,204,638,FALSE,FALSE,FALSE,,,,,,,"Boni Yayi, Benin President ",4,9,AdditionalCoded
