project_id,project_location_id,precision_code,geoname_id,place_name,latitude,longitude,location_type_code,location_type_name,gazetteer_adm_code,gazetteer_adm_name,location_class,geographic_exactness,project_title,start_actual_isodate,end_actual_isodate,donors_iso3,recipients,recipients_iso3,ad_sector_codes,ad_sector_names,ad_purpose_codes,ad_purpose_names,status,transactions_start_year,transactions_end_year,project_total_commitments,total_disbursements,even_split_commitments,even_split_disbursements,recommended_for_research,umbrella,year,year_uncertain,crs_sector_code,crs_sector_name,flow,all_recipients,recipient_condensed,sources_count,funding_agency,cofinancing_agency,implementing_agency,recipient_agencies,recipient_agencies_count,flow_class,intent,amount,currency,deflators_used,exchange_rates_used,usd_defl_2014,usd_current,start_actual,start_planned,end_actual,end_planned,recipient_count,recipient_cow_code,recipient_oecd_code,recipient_oecd_name,recipient_iso3,recipient_iso2,recipient_un_code,recipient_imf_code,line_of_credit,is_cofinanced,is_ground_truthing,loan_type,interest_rate,maturity,grace_period,grant_element,location_details,contacts,source_triangulation,field_completeness,round_coded
20,20_2475741,4,2475741,Tizi Ouzou,36.75,4.25,ADM1,first-order administrative division,6295630|6255146|DZ|14,Earth|Africa|Algeria|Tizi Ouzou,1,1,ICBC and European financial institution fund $32 million telecommunications construction and supply project,,,CHN,Algeria,DZA,220,Communications,,,Completion,2003,2003,,,,,TRUE,FALSE,2003,FALSE,220,Communications,Loan (excluding debt rescheduling),Algeria,Algeria,6,"Industrial and Commercial Bank of China (ICBC), State-Owned Company","Societi Generale Corporate & Investment Bank, Private Sector","Zhongxing Technologies (ZTE), State-Owned Company","Banque Nationale d'AlgÍ©rie, Private Sector; AlgÍ©riÍ© TÍ©lÍ©com, State-Owned Company",2,OOF-like,Commercial,,,,,,,,,,,1,615,130,Algeria,DZA,DZ,12,612,FALSE,TRUE,FALSE,,,,,,Nationwide,"Wei Qifang, http://www.linkedin.com/pub/qifang-wei/45/160/a99 ",6,8,AdditionalCoded
20,20_2502951,4,2502951,Bouira,36.25,3.91667,ADM1,first-order administrative division,6295630|6255146|DZ|21,Earth|Africa|Algeria|Bouira,1,1,ICBC and European financial institution fund $32 million telecommunications construction and supply project,,,CHN,Algeria,DZA,220,Communications,,,Completion,2003,2003,,,,,TRUE,FALSE,2003,FALSE,220,Communications,Loan (excluding debt rescheduling),Algeria,Algeria,6,"Industrial and Commercial Bank of China (ICBC), State-Owned Company","Societi Generale Corporate & Investment Bank, Private Sector","Zhongxing Technologies (ZTE), State-Owned Company","Banque Nationale d'AlgÍ©rie, Private Sector; AlgÍ©riÍ© TÍ©lÍ©com, State-Owned Company",2,OOF-like,Commercial,,,,,,,,,,,1,615,130,Algeria,DZA,DZ,12,612,FALSE,TRUE,FALSE,,,,,,Nationwide,"Wei Qifang, http://www.linkedin.com/pub/qifang-wei/45/160/a99 ",6,8,AdditionalCoded
20,20_2505325,4,2505325,Béjaïa,36.66667,4.91667,ADM1,first-order administrative division,6295630|6255146|DZ|18,Earth|Africa|Algeria|Béjaïa,1,1,ICBC and European financial institution fund $32 million telecommunications construction and supply project,,,CHN,Algeria,DZA,220,Communications,,,Completion,2003,2003,,,,,TRUE,FALSE,2003,FALSE,220,Communications,Loan (excluding debt rescheduling),Algeria,Algeria,6,"Industrial and Commercial Bank of China (ICBC), State-Owned Company","Societi Generale Corporate & Investment Bank, Private Sector","Zhongxing Technologies (ZTE), State-Owned Company","Banque Nationale d'AlgÍ©rie, Private Sector; AlgÍ©riÍ© TÍ©lÍ©com, State-Owned Company",2,OOF-like,Commercial,,,,,,,,,,,1,615,130,Algeria,DZA,DZ,12,612,FALSE,TRUE,FALSE,,,,,,Nationwide,"Wei Qifang, http://www.linkedin.com/pub/qifang-wei/45/160/a99 ",6,8,AdditionalCoded
31221,31221_2467450,4,2467450,Gouvernorat de Sfax,34.75,10.41667,ADM1,first-order administrative division,6295630|6255146|TN|32,Earth|Africa|Tunisia|Gouvernorat de Sfax,1,2,"China opens Confucius Classroom at CRI in Sfax, Tunisia",,2009-09-12,CHN,Tunisia,TUN,110,Education,,,Completion,2009,2009,,,,,TRUE,FALSE,2009,FALSE,110,Education,Grant,Tunisia,Tunisia,3,"Unspecified Chinese Government Institution, Government Agency",,,,,OOF-like,Representational,,,,,,,,,2009-09-12,,1,616,139,Tunisia,TUN,TN,788,744,FALSE,FALSE,FALSE,,,,,,Sfax,(Confucius Institute),4,6,AdditionalCoded
33357,33357_7671049,4,7671049,Northern Province,9.16667,80.41667,ADM1,first-order administrative division,6295630|6255147|LK|38,Earth|Asia|Sri Lanka|Northern Province,1,1,China gives LKR204.9m worth of export credits to Sri Lanka for purchase of vehicles,,,CHN,Sri Lanka,LKA,430,Other Multisector,,,Completion,2009,2009,24191576,,24191576,,TRUE,FALSE,2009,FALSE,430,Other Multisector,Export credits,Sri Lanka,Sri Lanka,3,"Unspecified Chinese Government Institution, Government Agency",,,,,OOF-like,Mixed,2050000000,LKR,0.736866033,114.9447833,24191576,17825950,,,,,1,780,640,Sri Lanka,LKA,LK,144,524,FALSE,FALSE,FALSE,,,,,,Northern Province,"Yang Xiuping , Chinese Ambassador ",2,7,AdditionalCoded
33364,33364_7671049,4,7671049,Northern Province,9.16667,80.41667,ADM1,first-order administrative division,6295630|6255147|LK|38,Earth|Asia|Sri Lanka|Northern Province,1,2,EXIM Bank loan for Northern Road Rehabilitation Project,,,CHN,Sri Lanka,LKA,210,Transport and Storage,,,Completion,2009,2009,675900107,,112650017.833333,,TRUE,FALSE,2009,FALSE,210,Transport and Storage,Export credits,Sri Lanka,Sri Lanka,15,"Export-Import Bank of China, Government Agency",,"China Railway No. 5 Engineering Group Co. Ltd ; Sinohydro Corporation, State-Owned Company; China National Aero-Technology (CATIC), State-Owned Company; China Harbour Engineering Co., Ltd., State-Owned Company",,,OOF-like,Commercial,57200000000,LKR,0.736866033,114.9447833,675900107,498047831,,,,,1,780,640,Sri Lanka,LKA,LK,144,524,FALSE,FALSE,FALSE,Some Information,,15,3,,Northern Province,,7,9,AdditionalCoded
34486,34486_3348303,4,3348303,Huíla,-14.69531,15.00014,ADM1,first-order administrative division,6295630|6255146|AO|09,Earth|Africa|Angola|Huíla,1,2,"Reconstruction of Ganjelas Hydroelectric Dam (Linked to #34784, #42029)",2005-11-15,2009-01-15,CHN,Angola,AGO,310,"Agriculture, Forestry and Fishing",,,Completion,2005,2005,,,,,TRUE,FALSE,2005,FALSE,310,"Agriculture, Forestry and Fishing",Loan (excluding debt rescheduling),Angola,Angola,4,"Export-Import Bank of China, Government Agency",,"SinoHydro , State-Owned Company",,,OOF-like,Development,,,,,,,2005-11-15,,2009-01-15,,1,540,225,Angola,AGO,AO,24,614,FALSE,FALSE,FALSE,Non-Concessional,,,,,Ganjelas,"Lutero Campos, Huila Director of Agriculture ",3,7,AdditionalCoded
34776,34776_3351660,4,3351660,Benguela,-12.85399,13.92825,ADM1,first-order administrative division,6295630|6255146|AO|01,Earth|Africa|Angola|Benguela,1,2,China constructs technical schools for $58.9 million in Angola (Linked to Project ID #42029 #34030),,2008-07-01,CHN,Angola,AGO,110,Education,,,Completion,2005,2005,115763121,,23152624.2,,TRUE,FALSE,2005,FALSE,110,Education,Loan (excluding debt rescheduling),Angola,Angola,3,"Export-Import Bank of China, Government Agency",,"China Machinery Engineering Corporation (CMEC) , State-Owned Company",,,OOF-like,Development,58938709,USD,0.509132,1,115763121,58938709,,,2008-07-01,2007-05-22,1,540,225,Angola,AGO,AO,24,614,FALSE,FALSE,FALSE,Non-Concessional,6.84,17,5,20.9,"Sambizanga, Cazenga, Cacuaco, Viana; Lobito, GraÍ_a",,5,9,AdditionalCoded
34777,34777_2239858,4,2239858,Malanje,-9.67548,16.82553,ADM1,first-order administrative division,6295630|6255146|AO|12,Earth|Africa|Angola|Malanje,1,2,Phase 1: Construction of Two Malange Secondary Schools (linked to project IDs #42029 and #34030),2006-07-18,2008-02-19,CHN,Angola,AGO,110,Education,,,Completion,2005,2005,15670390,,7835195,,TRUE,FALSE,2005,FALSE,110,Education,Loan (excluding debt rescheduling),Angola,Angola,4,"Export-Import Bank of China, Government Agency",,"SinoHydro , State-Owned Company",,,OOF-like,Mixed,7978297,USD,0.509132,1,15670390,7978297,2006-07-18,,2008-02-19,2007-10-18,1,540,225,Angola,AGO,AO,24,614,FALSE,FALSE,FALSE,Non-Concessional,6.5,12,5,21.52,Malange,,7,9,AdditionalCoded
34784,34784_3348303,4,3348303,Huíla,-14.69531,15.00014,ADM1,first-order administrative division,6295630|6255146|AO|09,Earth|Africa|Angola|Huíla,1,2,China Exim Bank provides $95.3 million loan to Angola for Phase I of irrigation construction (Liked to Project ID #34898 #42029),2005-07-28,2007-08-31,CHN,Angola,AGO,310,"Agriculture, Forestry and Fishing",,,Completion,2005,2005,187193105,,46798276.25,,TRUE,FALSE,2005,FALSE,310,"Agriculture, Forestry and Fishing",Loan (excluding debt rescheduling),Angola,Angola,2,"Export-Import Bank of China, Government Agency",,"SinoHydro , State-Owned Company",,,OOF-like,Development,95306000,USD,0.509132,1,187193105,95306000,2005-07-28,,2007-08-31,,1,540,225,Angola,AGO,AO,24,614,FALSE,FALSE,FALSE,Non-Concessional,6.5,12,5,21.52,"Luena, Caxito, Gandjelas, Waco-Kungo",,5,9,AdditionalCoded
