project_id,project_location_id,precision_code,geoname_id,place_name,latitude,longitude,location_type_code,location_type_name,gazetteer_adm_code,gazetteer_adm_name,location_class,geographic_exactness,project_title,start_actual_isodate,end_actual_isodate,donors_iso3,recipients,recipients_iso3,ad_sector_codes,ad_sector_names,ad_purpose_codes,ad_purpose_names,status,transactions_start_year,transactions_end_year,project_total_commitments,total_disbursements,even_split_commitments,even_split_disbursements,recommended_for_research,umbrella,year,year_uncertain,crs_sector_code,crs_sector_name,flow,all_recipients,recipient_condensed,sources_count,funding_agency,cofinancing_agency,implementing_agency,recipient_agencies,recipient_agencies_count,flow_class,intent,amount,currency,deflators_used,exchange_rates_used,usd_defl_2014,usd_current,start_actual,start_planned,end_actual,end_planned,recipient_count,recipient_cow_code,recipient_oecd_code,recipient_oecd_name,recipient_iso3,recipient_iso2,recipient_un_code,recipient_imf_code,line_of_credit,is_cofinanced,is_ground_truthing,loan_type,interest_rate,maturity,grace_period,grant_element,location_details,contacts,source_triangulation,field_completeness,round_coded
31086,31086_7603036,4,7603036,Nyandarua,-0.344,36.5,ADM1,first-order administrative division,6295630|6255146|KE|43,Earth|Africa|Kenya|Nyandarua,1,2,China funds the construction of a Nyahururu-Maralal transmission line,,,CHN,Kenya,KEN,230,Energy Generation and Supply,,,Implementation,2012,2012,22175577,,4435115.4,,TRUE,FALSE,2012,TRUE,230,Energy Generation and Supply,Loan (excluding debt rescheduling),Kenya,Kenya,3,"Unspecified Chinese Government Institution, Government Agency",,Kenya Eletricity Transmission Company Limited (KETRACO),,,Vague (Official Finance),Development,1770000000,KES,0.944255468,84.52960176,22175577,20939410,,2015-01-05,,2017-01-31,1,501,248,Kenya,KEN,KE,404,664,FALSE,FALSE,FALSE,,,,,,Nyahururu - Maralal,,6,6,AdditionalCoded
31086,31086_180782,4,180782,Samburu,1.33333,37.11667,ADM1,first-order administrative division,6295630|6255146|KE|45,Earth|Africa|Kenya|Samburu,1,2,China funds the construction of a Nyahururu-Maralal transmission line,,,CHN,Kenya,KEN,230,Energy Generation and Supply,,,Implementation,2012,2012,22175577,,4435115.4,,TRUE,FALSE,2012,TRUE,230,Energy Generation and Supply,Loan (excluding debt rescheduling),Kenya,Kenya,3,"Unspecified Chinese Government Institution, Government Agency",,Kenya Eletricity Transmission Company Limited (KETRACO),,,Vague (Official Finance),Development,1770000000,KES,0.944255468,84.52960176,22175577,20939410,,2015-01-05,,2017-01-31,1,501,248,Kenya,KEN,KE,404,664,FALSE,FALSE,FALSE,,,,,,Nyahururu - Maralal,,6,6,AdditionalCoded
31086,31086_189794,4,189794,Laikipia,0.33333,36.76667,ADM1,first-order administrative division,6295630|6255146|KE|29,Earth|Africa|Kenya|Laikipia,1,2,China funds the construction of a Nyahururu-Maralal transmission line,,,CHN,Kenya,KEN,230,Energy Generation and Supply,,,Implementation,2012,2012,22175577,,4435115.4,,TRUE,FALSE,2012,TRUE,230,Energy Generation and Supply,Loan (excluding debt rescheduling),Kenya,Kenya,3,"Unspecified Chinese Government Institution, Government Agency",,Kenya Eletricity Transmission Company Limited (KETRACO),,,Vague (Official Finance),Development,1770000000,KES,0.944255468,84.52960176,22175577,20939410,,2015-01-05,,2017-01-31,1,501,248,Kenya,KEN,KE,404,664,FALSE,FALSE,FALSE,,,,,,Nyahururu - Maralal,,6,6,AdditionalCoded
33904,33904_1040947,4,1040947,Manica Province,-19,33.5,ADM1,first-order administrative division,6295630|6255146|MZ|10,Earth|Africa|Mozambique|Manica Province,1,2,China Offers 'Concessional Loan' to $50 million USD to Mozambique,,,CHN,Mozambique,MOZ,310,"Agriculture, Forestry and Fishing",,,Completion,2009,2009,67854939,,16963734.75,,TRUE,FALSE,2009,TRUE,310,"Agriculture, Forestry and Fishing",Loan (excluding debt rescheduling),Mozambique,Mozambique,2,"Export-Import Bank of China, Government Agency",,,,,Vague (Official Finance),Development,50000000,USD,0.736866033,1,67854939,50000000,,,,,1,541,259,Mozambique,MOZ,MZ,508,688,FALSE,FALSE,FALSE,,,,,,Zambezi Valley,,4,7,AdditionalCoded
33904,33904_1024312,4,1024312,Província de Zambézia,-17,37,ADM1,first-order administrative division,6295630|6255146|MZ|09,Earth|Africa|Mozambique|Província de Zambézia,1,2,China Offers 'Concessional Loan' to $50 million USD to Mozambique,,,CHN,Mozambique,MOZ,310,"Agriculture, Forestry and Fishing",,,Completion,2009,2009,67854939,,16963734.75,,TRUE,FALSE,2009,TRUE,310,"Agriculture, Forestry and Fishing",Loan (excluding debt rescheduling),Mozambique,Mozambique,2,"Export-Import Bank of China, Government Agency",,,,,Vague (Official Finance),Development,50000000,USD,0.736866033,1,67854939,50000000,,,,,1,541,259,Mozambique,MOZ,MZ,508,688,FALSE,FALSE,FALSE,,,,,,Zambezi Valley,,4,7,AdditionalCoded
36690,36690_3383329,4,3383329,Distrikt Paramaribo,5.86667,-55.16667,ADM1,first-order administrative division,6295630|6255150|SR|16,Earth|South America|Suriname|Distrikt Paramaribo,1,2,China commits 43.35 million USD loan to repave Suriname roads,,,CHN,Suriname,SUR,210,Transport and Storage,,,Completion,2004,2004,89335425,,89335425,,TRUE,FALSE,2004,FALSE,210,Transport and Storage,Loan (excluding debt rescheduling),Suriname,Suriname,5,"Export-Import Bank of China, Government Agency",,"China Dalian International Cooperation, State-Owned Company",,,Vague (Official Finance),Development,43350000,USD,0.485249833,1,89335425,43350000,,,,,1,115,457,Suriname,SUR,SR,740,366,FALSE,TRUE,FALSE,No Information,,,,,Paramaribo,"Dewanand Balessar, Civil Works Minister of Suriname (Sudan Academy for Banking and Financial Sciences' Microfinance Development Programme)",8,8,AdditionalCoded
36735,36735_3383337,4,3383337,Distrikt Para,5.41667,-55.33333,ADM1,first-order administrative division,6295630|6255150|SR|15,Earth|South America|Suriname|Distrikt Para,1,2,China Exim Bank loans Suriname 140 million USD for road rehabilitation projects,,,CHN,Suriname,SUR,210,Transport and Storage,,,Implementation,2008,2008,193737290,,32289548.3333333,,TRUE,FALSE,2008,FALSE,210,Transport and Storage,Loan (excluding debt rescheduling),Suriname,Suriname,7,"Export-Import Bank of China, Government Agency",,"Dalian International Economic and Technical Cooperation Group (CDIG) , State-Owned Company",,,Vague (Official Finance),Development,140500000,USD,0.725208865,1,193737290,140500000,,,,,1,115,457,Suriname,SUR,SR,740,366,FALSE,TRUE,FALSE,No Information,,,,,Paramaribo; Brokopondo; Para; Sipaliwini,"Humphrey Hildenberg, Finance Minister (Suriname) ",8,7,AdditionalCoded
36735,36735_3383062,4,3383062,Distrikt Sipaliwini,4,-56,ADM1,first-order administrative division,6295630|6255150|SR|18,Earth|South America|Suriname|Distrikt Sipaliwini,1,2,China Exim Bank loans Suriname 140 million USD for road rehabilitation projects,,,CHN,Suriname,SUR,210,Transport and Storage,,,Implementation,2008,2008,193737290,,32289548.3333333,,TRUE,FALSE,2008,FALSE,210,Transport and Storage,Loan (excluding debt rescheduling),Suriname,Suriname,7,"Export-Import Bank of China, Government Agency",,"Dalian International Economic and Technical Cooperation Group (CDIG) , State-Owned Company",,,Vague (Official Finance),Development,140500000,USD,0.725208865,1,193737290,140500000,,,,,1,115,457,Suriname,SUR,SR,740,366,FALSE,TRUE,FALSE,No Information,,,,,Paramaribo; Brokopondo; Para; Sipaliwini,"Humphrey Hildenberg, Finance Minister (Suriname) ",8,7,AdditionalCoded
36735,36735_3383329,4,3383329,Distrikt Paramaribo,5.86667,-55.16667,ADM1,first-order administrative division,6295630|6255150|SR|16,Earth|South America|Suriname|Distrikt Paramaribo,1,2,China Exim Bank loans Suriname 140 million USD for road rehabilitation projects,,,CHN,Suriname,SUR,210,Transport and Storage,,,Implementation,2008,2008,193737290,,32289548.3333333,,TRUE,FALSE,2008,FALSE,210,Transport and Storage,Loan (excluding debt rescheduling),Suriname,Suriname,7,"Export-Import Bank of China, Government Agency",,"Dalian International Economic and Technical Cooperation Group (CDIG) , State-Owned Company",,,Vague (Official Finance),Development,140500000,USD,0.725208865,1,193737290,140500000,,,,,1,115,457,Suriname,SUR,SR,740,366,FALSE,TRUE,FALSE,No Information,,,,,Paramaribo; Brokopondo; Para; Sipaliwini,"Humphrey Hildenberg, Finance Minister (Suriname) ",8,7,AdditionalCoded
36735,36735_3384481,4,3384481,Distrikt Brokopondo,4.75,-55.16667,ADM1,first-order administrative division,6295630|6255150|SR|10,Earth|South America|Suriname|Distrikt Brokopondo,1,2,China Exim Bank loans Suriname 140 million USD for road rehabilitation projects,,,CHN,Suriname,SUR,210,Transport and Storage,,,Implementation,2008,2008,193737290,,32289548.3333333,,TRUE,FALSE,2008,FALSE,210,Transport and Storage,Loan (excluding debt rescheduling),Suriname,Suriname,7,"Export-Import Bank of China, Government Agency",,"Dalian International Economic and Technical Cooperation Group (CDIG) , State-Owned Company",,,Vague (Official Finance),Development,140500000,USD,0.725208865,1,193737290,140500000,,,,,1,115,457,Suriname,SUR,SR,740,366,FALSE,TRUE,FALSE,No Information,,,,,Paramaribo; Brokopondo; Para; Sipaliwini,"Humphrey Hildenberg, Finance Minister (Suriname) ",8,7,AdditionalCoded
